,各地区按项目规模分城镇固定资产投资est,各地区按项目规模分城镇固定资产投资tst,新浪数据网站,
,,,
时间,地区,500万元以下项目(亿元),10亿元以上项目(亿元),5至10亿元项目(亿元),1至5亿元项目(亿元),500万元至1亿元项目(亿元),
2010,海南,5.2,414.8,88.1,139.9,141.6,
2010,广东,243.5,3631.7,805.3,1311.7,2947.4,
2010,广西,227.6,968.9,487,874.2,2619.3,
2010,贵州,931.1,180.2,367.2,574.2,
2011,中国,60997.5,23147.6,52773.6,103680.5,
2011,上海,1008.6,385.7,575.6,736.2,
2011,黑龙江,1665.9,557.1,1280.1,2427.3,
2011,吉林,991.7,525.9,1151.5,3362.1,
2011,辽宁,3451.5,1596.1,3167.3,4729,
2011,内蒙古,2779.2,669.6,1547.9,3665.1,
2011,北京,1168.1,290.9,547,477.6,
2011,新疆,1606.5,326.8,702.4,1292.9,
2011,江苏,3491.2,2539.3,5497.4,9217.7,
2011,甘肃,693.5,365.6,673.7,1770.3,
2011,青海,423.7,125.2,281.2,391.1,
2011,宁夏,358.4,169,408.8,316.7,
2011,浙江,1799.2,941.6,2494.4,4279.1,
2011,安徽,1387.7,858.1,2111.5,5039.1,
2011,福建,1960.9,696.5,1524.8,3088.6,
2011,江西,1091,501.1,1958.4,4336.4,
2011,山东,3486.8,1857.5,4833.6,11622.8,
2011,河南,1804.5,1548.7,4458.9,6495.7,
2011,湖北,2306.4,936.6,2445.7,4440.1,
2011,湖南,1652.6,477.3,1064.2,6269.8,
2011,广西,1076.7,546.9,1119.9,3319.9,
2011,广东,3288.1,646.2,2174.6,5680.4,
2011,海南,437.2,139.1,201.4,170.7,
2011,重庆,1562.2,579.8,1043.6,2166.2,
2011,四川,2596.5,1443.9,2501.1,4327.1,
2011,贵州,1218.5,384.2,651.7,898.5,
2011,云南,1819.1,364,633.3,1836.2,
2011,西藏,125.1,54,68.2,263.9,
2011,陕西,2717.8,863.3,1644.7,2472.3,
2011,天津,2692.6,553.6,1013.8,1700.4,
2011,河北,3005.7,1518.5,3194.1,5007.5,
2011,山西,1694.4,677.8,1795.8,1879.5,
